City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,kudat,6.8837,116.8477,298.9,88,94,3.51,MY,1701040015
182,moranbah,-22.0016,148.0466,299.16,66,95,2.46,AU,1701040015
183,capim grosso,-11.3811,-40.0128,298.82,51,8,7.24,BR,1701039888
184,ribeira grande,38.5167,-28.7,291.36,97,100,4.47,PT,1701040017
185,puerto natales,-51.7236,-72.4875,281.14,64,35,4.09,CL,1701040018
186,jabor,5.921,169.6434,301.5,80,88,8.16,MH,1701040018
187,sandnessjoen,66.0217,12.6316,253.44,70,8,5.0,NO,1701039799
188,chibougamau,49.9168,-74.3659,270.94,80,100,3.6,CA,1701040020
189,enewetak,11.3474,162.3373,301.18,79,73,9.68,MH,1701040020
190,olonkinbyen,70.9221,-8.7187,274.22,87,82,7.77,SJ,1701040021
191,port blair,11.6667,92.75,301.17,83,40,2.57,IN,1701040021
192,jerseyville,39.12,-90.3285,275.25,77,92,6.12,US,1701040022
193,almodovar del campo,38.7094,-4.1791,282.86,64,99,1.72,ES,1701040023
194,bara,10.3744,10.7288,297.36,43,56,1.19,NG,1701040024
195,thunder bay,48.4001,-89.3168,271.14,93,75,2.57,CA,1701039930
196,minas de marcona,-15.2119,-75.1103,290.05,71,28,5.69,PE,1701040025
197,okha,53.5739,142.9478,260.42,88,99,12.08,RU,1701040025
198,polyarnyy,69.1989,33.4478,258.78,88,30,2.73,RU,1701040026
199,nouadhibou,20.931,-17.0347,294.14,56,0,7.2,MR,1701040027
200,san pedro,14.35,121.0167,299.92,91,20,0.89,PH,1701039731
201,ishigaki,24.3448,124.1572,296.93,77,99,8.13,JP,1701040028
202,urangan,-25.3,152.9,297.32,73,93,2.55,AU,1701039893
203,acarau,-2.8856,-40.12,300.03,73,28,7.55,BR,1701040029
204,cobram,-35.9167,145.65,293.62,56,30,2.26,AU,1701040029
205,kapuskasing,49.4169,-82.4331,271.99,96,100,3.23,CA,1701040030
206,nadi,-17.8,177.4167,303.15,70,40,6.69,FJ,1701040030
207,oum el bouaghi,35.8754,7.1135,281.53,71,1,1.78,DZ,1701040031
208,kinablangan,7.6947,126.5503,299.68,85,18,1.95,PH,1701040032
209,constantia,44.1833,28.65,272.53,73,100,9.86,RO,1701040032
210,petropavlovsk-kamchatsky,53.0452,158.6483,264.51,74,40,4.47,RU,1701040034
211,roxas,11.5853,122.7511,298.23,88,55,2.37,PH,1701040035
212,inhambane,-23.865,35.3833,296.16,88,8,1.98,MZ,1701040035
213,qamdo,31.1667,97.2333,264.22,23,0,0.78,CN,1701040036
214,zambezi,-13.5432,23.1047,291.69,90,80,2.97,ZM,1701040037
215,kiunga,-6.1219,141.2906,299.23,90,100,0.77,PG,1701040038
216,nazca,-14.8333,-74.95,298.27,46,14,2.76,PE,1701040039
217,ujae,8.9322,165.7642,301.08,79,90,9.33,MH,1701040040
